epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3503,3.49063,4.7463,2.3163,0,0,0,0,3.03195,4.96727,2.15624,2.858e-05,2.858e-05,2.858e-05
2,33.9747,2.79092,4.44229,1.93843,0.00186,0.16667,0.00272,0.00043,2.20811,4.35045,1.70688,7.07426e-05,7.07426e-05,7.07426e-05
3,48.9262,2.12307,4.04949,1.63113,0.00387,0.4,0.05008,0.01883,2.07432,4.09565,1.50974,0.000112056,0.000112056,0.000112056
4,62.8479,1.93761,3.64253,1.40628,0.00443,0.5,0.21432,0.11778,1.90065,3.90761,1.38885,0.000152521,0.000152521,0.000152521
5,77.089,1.61062,3.203,1.27609,0.93177,0.23333,0.25186,0.12164,1.70661,3.70773,1.33879,0.000192138,0.000192138,0.000192138
6,92.1891,1.55069,2.82215,1.23282,1,0.16737,0.24336,0.13653,1.67617,3.61802,1.37199,0.000230905,0.000230905,0.000230905
7,106.836,1.59353,2.65236,1.22385,0.99041,0.06667,0.23032,0.1432,1.69813,3.63847,1.38635,0.000268823,0.000268823,0.000268823
8,122.806,1.53427,2.55091,1.23219,1,0.07758,0.25862,0.15332,1.69505,3.54525,1.3164,0.000305893,0.000305893,0.000305893
9,138.277,1.4905,2.40867,1.17019,1,0.16986,0.28608,0.17767,1.73251,3.52535,1.32554,0.000342114,0.000342114,0.000342114
10,153.97,1.56845,2.29943,1.19897,0.06443,0.4,0.28028,0.18171,1.66015,3.60582,1.30302,0.000377486,0.000377486,0.000377486
11,170.224,1.4252,2.29777,1.15774,0.00457,0.33333,0.28242,0.15593,1.53069,3.62443,1.32236,0.000412009,0.000412009,0.000412009
12,186.255,1.53513,2.06466,1.18227,0.00394,0.3,0.28022,0.13366,1.53482,3.62459,1.30233,0.000445684,0.000445684,0.000445684
13,201.641,1.53183,2.08191,1.21714,0.00565,0.53333,0.34256,0.19446,1.47323,3.48415,1.32417,0.000478509,0.000478509,0.000478509
14,218.06,1.55067,1.96611,1.16496,0.0065,0.6,0.3806,0.24188,1.49226,3.50491,1.33964,0.000510486,0.000510486,0.000510486
15,233.62,1.55288,1.91008,1.19955,0.00393,0.36667,0.2122,0.13435,1.57051,3.70064,1.34322,0.000541614,0.000541614,0.000541614
16,249.252,1.43018,1.79927,1.14944,0.00392,0.36667,0.21971,0.12522,1.63044,3.78925,1.36687,0.000571893,0.000571893,0.000571893
17,265.689,1.47837,1.73919,1.13852,0.00316,0.3,0.24073,0.12202,1.84581,3.89369,1.50451,0.000601323,0.000601323,0.000601323
18,281.923,1.33,1.63624,1.10088,0.00272,0.26667,0.25145,0.11857,1.82748,3.95818,1.52177,0.000629905,0.000629905,0.000629905
19,297.661,1.53732,1.94653,1.19489,0.00362,0.36667,0.25651,0.12629,1.89168,3.86396,1.5234,0.000657637,0.000657637,0.000657637
20,313.3,1.42604,1.60301,1.0955,0.00441,0.43333,0.38549,0.19745,1.83358,3.6512,1.46568,0.000684521,0.000684521,0.000684521
21,329.237,1.29453,1.48597,1.06886,0.00633,0.6,0.52162,0.26569,1.74497,3.46905,1.4921,0.000710556,0.000710556,0.000710556
22,345.552,1.38171,1.56201,1.07862,0.95754,0.24654,0.61163,0.29146,1.59678,3.20084,1.40426,0.000735742,0.000735742,0.000735742
23,362.926,1.34356,1.47147,1.11555,1,0.26208,0.69394,0.34317,1.63036,2.97632,1.32333,0.000760079,0.000760079,0.000760079
24,378.895,1.34842,1.50472,1.07269,1,0.33092,0.74974,0.3326,1.75342,2.94198,1.34371,0.000783568,0.000783568,0.000783568
25,395.065,1.36853,1.49765,1.08717,0.89271,0.35358,0.73222,0.36106,1.66914,2.90315,1.37335,0.000806208,0.000806208,0.000806208
26,411.043,1.43954,1.53091,1.16422,0.90288,0.40174,0.7195,0.34718,1.64654,2.84757,1.3785,0.000827998,0.000827998,0.000827998
27,427.111,1.36549,1.43874,1.10178,0.93599,0.39779,0.83124,0.41778,1.59126,2.77321,1.32099,0.00084894,0.00084894,0.00084894
28,444.732,1.48005,1.64929,1.15689,0.91168,0.33333,0.79528,0.3436,1.65663,2.94503,1.32145,0.000869033,0.000869033,0.000869033
29,460.566,1.37721,1.41047,1.11641,0.91168,0.33333,0.79528,0.3436,1.65663,2.94503,1.32145,0.000888278,0.000888278,0.000888278
30,477.447,1.33227,1.40021,1.10524,0.92545,0.48558,0.83114,0.39595,1.64276,2.61861,1.28986,0.000906673,0.000906673,0.000906673
31,493.096,1.33607,1.38486,1.11768,0.70055,0.5,0.74944,0.28279,1.76506,2.7112,1.40058,0.00092422,0.00092422,0.00092422
32,509.763,1.40873,1.47715,1.14014,0.74603,0.33333,0.58259,0.20513,1.81228,3.02348,1.45623,0.000940918,0.000940918,0.000940918
33,525.76,1.37831,1.32945,1.0984,0.74603,0.33333,0.58259,0.20513,1.81228,3.02348,1.45623,0.000956767,0.000956767,0.000956767
34,542.994,1.2967,1.37336,1.0881,0.88515,0.43572,0.52741,0.20365,1.83199,3.20473,1.43904,0.000962146,0.000962146,0.000962146
35,563.127,1.3365,1.29291,1.0677,0.77652,0.41812,0.58803,0.27024,1.95602,2.95841,1.44365,0.000947999,0.000947999,0.000947999
36,589.605,1.30423,1.28972,1.0919,0.91827,0.50465,0.69138,0.33331,1.80778,2.6358,1.39011,0.000933851,0.000933851,0.000933851
37,612.39,1.27378,1.22363,1.06311,0.91827,0.50465,0.69138,0.33331,1.80778,2.6358,1.39011,0.000919704,0.000919704,0.000919704
38,634.831,1.2967,1.27268,1.09396,0.88236,0.55916,0.70984,0.3428,1.70115,2.40889,1.37313,0.000905557,0.000905557,0.000905557
39,651.838,1.21568,1.1604,1.06319,0.77154,0.47827,0.6354,0.32285,1.81079,2.5571,1.45352,0.00089141,0.00089141,0.00089141
40,668.223,1.25365,1.30216,1.14252,1,0.32192,0.51267,0.24428,1.96708,3.09412,1.53037,0.000877263,0.000877263,0.000877263
41,684.467,1.30737,1.24787,1.12577,1,0.32192,0.51267,0.24428,1.96708,3.09412,1.53037,0.000863116,0.000863116,0.000863116
42,700.904,1.1818,1.22359,1.06998,0.99222,0.24939,0.43116,0.18825,2.14926,3.38227,1.68551,0.000848969,0.000848969,0.000848969
