epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.278,2.27818,3.87583,1.72747,0.77857,0.29592,0.26048,0.09987,1.63208,3.55262,1.3674,0.00022864,0.00022864,0.00022864
2,255.769,1.6299,2.48874,1.3334,0.00686,0.68044,0.37265,0.17406,1.66823,3.51099,1.36802,0.000466901,0.000466901,0.000466901
3,486.698,1.59928,1.90628,1.25447,0.00216,0.2226,0.12607,0.03842,2.14598,3.94745,1.79002,0.000700353,0.000700353,0.000700353
4,716.819,1.65207,1.77631,1.2859,0.97923,0.09184,0.27754,0.1109,1.88659,3.43373,1.56225,0.000928994,0.000928994,0.000928994
5,913.044,1.56654,1.56626,1.22966,0.89663,0.04544,0.11134,0.04032,2.13092,3.8887,1.73885,0.00115283,0.00115283,0.00115283
6,1149.09,1.61686,1.55986,1.2465,0.63689,0.57477,0.70677,0.33192,1.6138,2.4477,1.32551,0.00135826,0.00135826,0.00135826
7,1367.18,1.50545,1.47115,1.21773,0.69299,0.73626,0.77051,0.37456,1.63932,1.90453,1.36175,0.00134412,0.00134412,0.00134412
8,1547.56,1.51521,1.48996,1.24933,0.79655,0.81285,0.87047,0.42537,1.62924,1.70305,1.36853,0.00132997,0.00132997,0.00132997
9,1710.77,1.6011,1.35932,1.27264,0.79551,0.85356,0.90471,0.48524,1.53337,1.43726,1.4141,0.00131582,0.00131582,0.00131582
10,1894.84,1.53266,1.36861,1.24696,0.78523,0.84168,0.88312,0.44827,1.60903,1.45871,1.41135,0.00130168,0.00130168,0.00130168
11,2044.07,1.50726,1.26874,1.19715,0.80786,0.88453,0.9144,0.47751,1.53033,1.3679,1.40554,0.00128753,0.00128753,0.00128753
12,2222.32,1.52976,1.27635,1.23223,0.86661,0.91446,0.91374,0.45834,1.67749,1.29469,1.37353,0.00127338,0.00127338,0.00127338
13,2453.51,1.44584,1.17275,1.1759,0.90676,0.92097,0.95271,0.50526,1.52339,1.31271,1.3261,0.00125923,0.00125923,0.00125923
14,2685.8,1.51169,1.21909,1.2109,0.87459,0.89359,0.9275,0.49002,1.57052,1.2619,1.27537,0.00124509,0.00124509,0.00124509
15,2898.6,1.45575,1.17352,1.19157,0.87264,0.90953,0.92651,0.49623,1.48653,1.19397,1.31969,0.00123094,0.00123094,0.00123094
16,3047.39,1.42492,1.0876,1.18064,0.89549,0.91451,0.91337,0.47939,1.54829,1.15256,1.34701,0.00121679,0.00121679,0.00121679
17,3193.47,1.47083,1.12445,1.21994,0.8369,0.90038,0.92034,0.48925,1.49839,1.20401,1.4671,0.00120265,0.00120265,0.00120265
18,3339.47,1.46458,1.09357,1.19163,0.89561,0.92345,0.95656,0.52436,1.45634,1.1335,1.3427,0.0011885,0.0011885,0.0011885
19,3487.48,1.45562,1.09645,1.19765,0.86858,0.95094,0.91978,0.47397,1.55712,1.15737,1.35228,0.00117435,0.00117435,0.00117435
20,3631.74,1.46063,1.04655,1.1904,0.93493,0.91355,0.95037,0.52008,1.41068,1.11933,1.34224,0.00116021,0.00116021,0.00116021
21,3777.78,1.42149,0.98513,1.19148,0.9558,0.93238,0.95327,0.51219,1.50277,1.08418,1.42076,0.00114606,0.00114606,0.00114606
